PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
,PUBLIC RESOURCES,Educate about public resources that the person can access that can be helpful to use when pursuing the behavior.,8. Has,PREPARATION,0. No edits needed,,,,,,,,,,,,"preparation, prepare, preparations, preparing, resources, planning, prepared, training, resource, motivation",439
,OLDER TECHNOLOGIES,"Backward compatibility with older technologies (so as not to leave people ""behind"" because their technology is obsolete).",8. Has,PROVIDING,0. No edits needed,,,,,,,,,,,,"providing, technologies, technology, provide, developing, enabling, provides, innovative, utilizing, systems",440
,SKILL TRAINING,Provide skill training either through in-person practice or online training modules.,9. Embodies,TRAINING,0. No edits needed,,,,,,,,,,,,"training, skill, skills, instructors, instruction, trained, teach, learning, conditioning, skilled",441
,DETAILED INSTRUCTIONS,Provide instructions on what to do when facing different sorts of common challenges.,9. Embodies,SUPPORT,0. No edits needed,,,,,,,,,,,,"detailed, outlines, instructions, illustrates, demonstrates, defines, summarizes, understands, detailing, describes",442
,SIMPLIFY,Make actions as easy as possible.,9. Embodies,MODIFIED ACTION,2. Edited,,Added the purpose for simplifying,,,,,,,,,,"simplify, simplified, redefine, optimize, simpler, enhance, incorporate, unify, modify, emulates",443
,SHADOWING,"Have the person follow someone throughout their day as they engage in the desired behaviors, e.g, shadowing someone at work.",9. Embodies,MODELING,0. No edits needed,,,,,,,,,,,,"modeling, emulates, modeled, mapping, designing, visualization, learning, mentor, mimics, visualize",444
,ACCESSIBILITY FEATURES,"Incorporate accessibility features to help people with disabilities perform the action (e.g., an option for using a screen reader).",9. Embodies,MODIFIED ACTION,0. No edits needed,,,,,,,,,,,,"features, incorporates, accessible, functionality, combines, unique, integrates, simplicity, encompasses, provides",445
,INCENTIVES,Offer incentives or modify the existing ones to motivate the person to take the desired behavior.,2. Desires,REWARDS,0. No edits needed,,,,,,,,,,,,"incentives, rewards, incentive, reward, bonus, benefits, discounts, subsidies, credits, rebate",447
,SOCIAL ENCOURAGEMENT,Have the people in the individual's social network encourage them to take the action.,2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,,,,,,,"social, desires, influence, societal, motivation, spiritual, support, motivate, desire, activism",448
,VALUES AFFIRMATION EXERCISE,"Have the person do a values affirmation exercise (e.g., choose their most important relevant values from a list, write about why these are important).",2. Desires,OTHER,0. No edits needed,,,,,,,,,,,,"desires, affirmation, values, desire, ideals, exercise, belief, freewill, aspirations, intrinsic",449
,STRUCTURED PROCRASTINATION,"Apply ""structured procrastination"" when avoiding an activity to get other unpleasant activities done. This is when an important action is taken during times when a more unpleasant other action is being avoided (e.g., someone works on a big, stress inducing-project they have been avoiding, because the idea of doing their taxes seems even more unpleasant).",6. Chooses,REWARDS,0. No edits needed,,,,,,,,,,,,"rewards, reward, incentive, structured, laziness, rewarded, incentives, encourages, temptation, chooses",450
,PROMPT TIMELY,"Prompt action at ideal times (e.g., at moments where the action is most likely to be needed or most likely to be easy to do).",6. Chooses,FRICTION REDUCING,0. No edits needed,,,,,,,,,,,,"prompt, timely, friction, reduces, reducing, prompts, appropriate, swift, facilitate, enable",451
,SUNK COST,"Use the sunk cost effect (where people don't want to give up on something they have invested a lot of time, money, or effort into already) to motivate someone to do the action, e.g., they want to continue going to the gym because they have already spent a lot of money on an annual gym membership.",6. Chooses,HIGHLIGHTING,0. No edits needed,,,,,,,,,,,,"highlighted, illustrates, highlight, highlights, illustrated, illustrate, exposes, detailing, demonstrates, reflected",452
,PENALTIES FOR NOT TAKING ACTION,Increase the cost of not taking action.,,,5. To be deleted,,Was chooses/punishment but is duplicated,,,,,,,,,,,453
,MAKE ACTION FUN,"Design the action so that it is fun for the user to do. For example, if the goal is to exercise, design fun workouts.",6. Chooses,HIGHLIGHTING,0. No edits needed,,,,,,,,,,,,"highlight, highlighted, highlights, illustrates, illustrate, detailing, illustrated, recognizes, discusses, recognizing",454
,TIME ALLOCATION,"Block out time to do the action (e.g., by scheduling it on the person's calendar).",6. Chooses,FRICTION REDUCING,0. No edits needed,,,,,,,,,,,,"allocation, friction, allocating, allocate, allocated, reducing, chooses, reduces, decreasing, selects",455
,COMMITMENT TO LOVED ONES,"Have the person commit to friends or loved ones that they will take certain actions, as a way of increasing long term motivation.",10. Maintains,COMMITMENT,0. No edits needed,,,,,,,,,,,,"commitment, devotion, commitments, committed, pledge, desire, passion, belief, willingness, determination",456
,GROWTH MINDSET,"Use growth mindset interventions to enforce the belief that the individual can achieve the final goal. For instance, teach that ""Those with a 'fixed mindset' believe that abilities are mostly innate and interpret failure as the lack of necessary basic abilities, while those with a 'growth mindset' believe that they can acquire any given ability provided they invest effort or study. In particular, an individual's mindset impacts how they face and cope with challenges."" Those with a fixed mindset are more likely to give up when they fail, whereas those with a growth mindset are more likely to view failure as an opportunity to learn and improve, which can lead to greater future success.",10. Maintains,MINDSET,0. No edits needed,,,,,,,,,,,,"mindset, mentality, attitude, philosophy, attitudes, approach, paradigm, perception, ethic, thinking",457
,GRIT INTERVENTIONS,"Use grit interventions to enforce the belief that the individual can achieve the final goal if they (1) work hard towards a long term goal that they value, and (2) don't give up or get distracted by other goals. Some studies have suggested that ""individuals high in grit were able to maintain their determination and motivation over long periods despite experiences with failure and adversity.""",10. Maintains,MINDSET,0. No edits needed,,,,,,,,,,,,"mindset, mentality, attitude, approach, instincts, instinct, ethic, philosophy, discipline, determination",458
,CONFIDENCE INTERVENTIONS,"Use confidence-building interventions to enforce the belief that the individual can achieve the final goal. For instance, you could remind the user of impressive achievements they have had in the past and the skills they excel at.",10. Maintains,MINDSET,0. No edits needed,,,,,,,,,,,,"mindset, mentality, attitude, confidence, attitudes, approach, perception, belief, philosophy, ethic",459
,CHECK-IN,"Have a knowledgeable provider (e.g., a doctor or caregiver or coach) contact the user for regular check-ins where they can provide advice related to achieving the behavior.",10. Maintains,PERIODIC COMMUNICATION,0. No edits needed,,,,,,,,,,,,"periodic, maintains, periodically, communication, maintained, continual, frequent, continuous, maintain, conducts",460
,REVIEW MATERIALS,"Provide review materials (e.g., at the end of each session, or emailed to the user later) so that the user can quickly recap information that they learned to help maintain it in memory.",10. Maintains,PERIODIC COMMUNICATION,0. No edits needed,,,,,,,,,,,,"periodic, maintains, materials, review, periodically, material, documentation, communication, updating, evaluation",461
,SET STARTING DATE AND TIME,Ask the user to select a specific date and time to begin their new habit.,,,5. To be deleted,,A part of scheduling,,,,,,,,,,,462
,SEND REMINDER,Prompt a user to start the new habit on the date and time they chose.,,,5. To be deleted,,Same as notification consent,,,,,,,,,,,463
,YOU'RE SPECIAL,Make people feel they are unique or special by taking the action.,2. Desires,PRIMAL DESIRE,0. No edits needed,,,,,,,"Wallaert, M. (2019). Start at the end: how to build products that create change. Portfolio Penguin.",,,,,"primal, desires, desire, lust, passions, impulses, feelings, fantasies, innate, passion",464
,IDENTITY PRIMING,"Remind the person of a strongly held identity they have that the person ALREADY associates with acting a certain way. For instance, if the desired behavior is taking care of others, and the person is a nurse, and already associates their identity as a nurse as involving taking care of others, reminding the person of their identity as a nurse may increase behaviors around taking care of others.",2. Desires,IDENTITY,0. No edits needed,,,,,,,"Wallaert, M. (2019). Start at the end: how to build products that create change. Portfolio Penguin.",,,,,"identity, identities, desires, identification, nationality, motivations, motives, aspirations, name, telos",465
,MEDIATION,"Draw a connection between a strongly held identity the person has and taking the desired behavior. For instance, if the person is a nurse, and the desired behavior is being empathetic towards patients, draw a link between the profession of being a nurse (and identity the person already has) with the behavior (being empathetic).",2. Desires,IDENTITY,0. No edits needed,,,,,,,"Wallaert, M. (2019). Start at the end: how to build products that create change. Portfolio Penguin.",,,,,"negotiation, negotiations, dialogue, identity, talks, arbitration, compromise, settlement, resolving, resolve",466
